date,home_team,away_team,home_score,away_score,tournament
1999-08-01,Mexico,United States,1,0,Confederations Cup
1999-08-04,Mexico,Brazil,4,3,Confederations Cup
1999-09-04,Argentina,Brazil,2,0,Friendly
1999-09-04,Netherlands,Belgium,5,5,Friendly
1999-09-07,Belgium,Morocco,4,0,Friendly
1999-09-07,Brazil,Argentina,4,2,Friendly
1999-10-09,Netherlands,Brazil,2,2,Friendly
1999-10-10,England,Belgium,2,1,Friendly
1999-10-13,Argentina,Colombia,2,1,Friendly
1999-10-20,Mexico,Colombia,0,0,Friendly
1999-11-13,France,Croatia,3,0,Friendly
1999-11-13,Italy,Belgium,1,3,Friendly
1999-11-13,Spain,Brazil,0,0,Friendly
1999-11-17,Morocco,United States,2,1,Friendly
1999-11-17,Spain,Argentina,0,2,Friendly
1999-12-21,Morocco,Senegal,0,0,Friendly
2000-02-05,Japan,Mexico,0,1,Lunar New Year Cup
2000-02-19,United States,Colombia,2,2,Gold Cup
2000-02-23,Belgium,Portugal,1,1,Friendly
2000-02-23,Croatia,Spain,0,0,Friendly
2000-02-23,England,Argentina,0,0,Friendly
2000-02-23,Netherlands,Germany,2,1,Friendly
2000-03-28,Colombia,Brazil,0,0,FIFA World Cup qualification
2000-03-29,Belgium,Netherlands,2,2,Friendly
2000-03-29,Croatia,Germany,1,1,Friendly
2000-03-29,Spain,Italy,2,0,Friendly
2000-04-26,Italy,Portugal,2,0,Friendly
2000-05-27,England,Brazil,1,1,Friendly
2000-05-28,Croatia,France,0,2,Friendly
2000-06-04,France,Japan,2,2,King Hassan II Tournament
2000-06-06,Morocco,France,1,5,King Hassan II Tournament
2000-06-11,United States,Mexico,3,0,USA Cup
2000-06-12,Portugal,England,3,2,UEFA Euro
2000-06-14,Belgium,Italy,0,2,UEFA Euro
2000-06-17,England,Germany,1,0,UEFA Euro
2000-06-20,Portugal,Germany,3,0,UEFA Euro
2000-06-21,Netherlands,France,3,2,UEFA Euro
2000-06-25,Spain,France,1,2,UEFA Euro
2000-06-28,Brazil,Uruguay,1,1,FIFA World Cup qualification
2000-06-28,France,Portugal,2,1,UEFA Euro
2000-06-29,Colombia,Argentina,1,3,FIFA World Cup qualification
2000-06-29,Netherlands,Italy,0,0,UEFA Euro
2000-07-02,France,Italy,2,1,UEFA Euro
2000-07-26,Brazil,Argentina,3,1,FIFA World Cup qualification
2000-08-15,Colombia,Uruguay,1,0,FIFA World Cup qualification
2000-08-16,Germany,Spain,4,1,Friendly
2000-09-02,Belgium,Croatia,0,0,FIFA World Cup qualification
2000-09-02,France,England,1,1,Friendly
2000-10-07,England,Germany,0,1,FIFA World Cup qualification
2000-10-08,Argentina,Uruguay,2,1,FIFA World Cup qualification
2000-10-11,Netherlands,Portugal,0,2,FIFA World Cup qualification
2000-10-25,United States,Mexico,2,0,Friendly
2000-11-15,Brazil,Colombia,1,0,FIFA World Cup qualification
2000-11-15,Italy,England,1,0,Friendly
2000-11-15,Spain,Netherlands,1,2,Friendly
2000-12-20,Mexico,Argentina,0,2,Friendly
2001-01-31,Mexico,Colombia,2,3,Friendly
2001-02-03,United States,Colombia,0,1,Friendly
2001-02-24,Morocco,Senegal,0,0,FIFA World Cup qualification
2001-02-27,France,Germany,1,0,Friendly
2001-02-28,England,Spain,3,0,Friendly
2001-02-28,Italy,Argentina,1,2,Friendly
2001-02-28,United States,Mexico,2,0,FIFA World Cup qualification
2001-03-03,United States,Brazil,1,2,Friendly
2001-03-07,Mexico,Brazil,3,3,Friendly
2001-03-24,France,Japan,5,0,Friendly
2001-03-28,Portugal,Netherlands,2,2,FIFA World Cup qualification
2001-03-28,Spain,France,2,1,Friendly
2001-04-25,France,Portugal,4,0,Friendly
2001-04-25,Spain,Japan,1,0,Friendly
2001-05-25,England,Mexico,4,0,Friendly
2001-06-03,Argentina,Colombia,3,0,FIFA World Cup qualification
2001-06-03,France,Mexico,4,0,Confederations Cup
2001-06-04,Japan,Brazil,0,0,Confederations Cup
2001-06-07,France,Brazil,2,1,Confederations Cup
2001-06-10,Japan,France,0,1,Confederations Cup
2001-07-01,Mexico,United States,1,0,FIFA World Cup qualification
2001-07-01,Uruguay,Brazil,1,0,FIFA World Cup qualification
2001-07-12,Brazil,Mexico,0,1,Copa América
2001-07-14,Senegal,Morocco,1,0,FIFA World Cup qualification
2001-07-25,Mexico,Uruguay,2,1,Copa América
2001-07-29,Colombia,Mexico,1,0,Copa América
2001-08-15,England,Netherlands,0,2,Friendly
2001-09-01,Germany,England,1,5,FIFA World Cup qualification
2001-09-05,Argentina,Brazil,2,1,FIFA World Cup qualification
2001-09-05,Italy,Morocco,1,0,Friendly
2001-10-04,Japan,Senegal,0,2,Friendly
2001-10-06,Croatia,Belgium,1,0,FIFA World Cup qualification
2001-10-07,Uruguay,Colombia,1,1,FIFA World Cup qualification
2001-11-07,Japan,Italy,1,1,Friendly
2001-11-14,Spain,Mexico,1,0,Friendly
2001-11-14,Uruguay,Argentina,1,1,FIFA World Cup qualification
2002-02-13,Italy,United States,1,0,Friendly
2002-02-13,Netherlands,England,1,1,Friendly
2002-02-13,Spain,Portugal,1,1,Friendly
2002-03-27,England,Italy,1,2,Friendly
2002-03-27,Germany,United States,4,2,Friendly
2002-03-27,Netherlands,Spain,1,0,Friendly
2002-04-17,Germany,Argentina,0,1,Friendly
2002-04-17,Italy,Uruguay,1,1,Friendly
2002-04-17,Portugal,Brazil,1,1,Friendly
2002-05-12,Mexico,Colombia,2,1,Friendly
2002-05-12,United States,Uruguay,2,1,Friendly
2002-05-18,France,Belgium,1,2,Friendly
2002-05-19,United States,Netherlands,0,2,Friendly
2002-05-31,France,Senegal,0,1,FIFA World Cup
2002-06-03,Croatia,Mexico,0,1,FIFA World Cup
2002-06-04,Japan,Belgium,2,2,FIFA World Cup
2002-06-05,United States,Portugal,3,2,FIFA World Cup
2002-06-06,France,Uruguay,0,0,FIFA World Cup
2002-06-07,Argentina,England,0,1,FIFA World Cup
2002-06-08,Italy,Croatia,1,2,FIFA World Cup
2002-06-11,Senegal,Uruguay,3,3,FIFA World Cup
2002-06-13,Mexico,Italy,1,1,FIFA World Cup
2002-06-17,Brazil,Belgium,2,0,FIFA World Cup
2002-06-17,Mexico,United States,0,2,FIFA World Cup
2002-06-21,England,Brazil,1,2,FIFA World Cup
2002-06-21,Germany,United States,1,0,FIFA World Cup
2002-06-30,Germany,Brazil,0,2,FIFA World Cup
2002-09-07,England,Portugal,1,1,Friendly
2002-11-20,Germany,Netherlands,1,3,Friendly
2002-11-20,Japan,Argentina,0,2,Friendly
2003-02-04,Mexico,Argentina,0,1,Friendly
2003-02-08,United States,Argentina,0,1,Friendly
2003-02-12,Italy,Portugal,1,0,Friendly
2003-02-12,Mexico,Colombia,0,0,Friendly
2003-02-12,Morocco,Senegal,1,0,Friendly
2003-02-12,Netherlands,Argentina,1,0,Friendly
2003-02-12,Spain,Germany,3,1,Friendly
2003-03-28,Japan,Uruguay,2,2,Friendly
2003-03-29,Croatia,Belgium,4,0,UEFA Euro qualification
2003-03-29,Portugal,Brazil,2,1,Friendly
2003-04-30,Mexico,Brazil,0,0,Friendly
2003-04-30,Netherlands,Portugal,1,1,Friendly
2003-05-08,United States,Mexico,0,0,Friendly
2003-06-08,Japan,Argentina,1,4,Kirin Cup
2003-06-18,France,Colombia,1,0,Confederations Cup
2003-06-20,France,Japan,2,1,Confederations Cup
2003-06-21,Brazil,United States,1,0,Confederations Cup
2003-06-22,Japan,Colombia,0,1,Confederations Cup
2003-07-13,Mexico,Brazil,1,0,Gold Cup
2003-07-16,Argentina,Uruguay,2,2,Friendly
2003-07-19,Colombia,Brazil,0,2,Gold Cup
2003-07-23,United States,Brazil,1,2,Gold Cup
2003-07-27,Mexico,Brazil,1,0,Gold Cup
2003-08-20,Argentina,Uruguay,3,2,Friendly
2003-08-20,Belgium,Netherlands,1,1,Friendly
2003-08-20,England,Croatia,3,1,Friendly
2003-08-20,Germany,Italy,0,1,Friendly
2003-09-06,Portugal,Spain,0,3,Friendly
2003-09-07,Colombia,Brazil,1,2,FIFA World Cup qualification
2003-09-10,Belgium,Croatia,2,1,UEFA Euro qualification
2003-09-10,Japan,Senegal,0,1,Friendly
2003-10-15,Mexico,Uruguay,0,2,Friendly
2003-11-15,Germany,France,0,3,Friendly
2003-11-19,Brazil,Uruguay,3,3,FIFA World Cup qualification
2003-11-19,Colombia,Argentina,1,1,FIFA World Cup qualification
2004-02-18,Belgium,France,0,2,Friendly
2004-02-18,Croatia,Germany,1,2,Friendly
2004-02-18,Netherlands,United States,1,0,Friendly
2004-02-18,Portugal,England,1,1,Friendly
2004-03-31,Germany,Belgium,3,0,Friendly
2004-03-31,Netherlands,France,0,0,Friendly
2004-03-31,Portugal,Italy,1,2,Friendly
2004-04-28,Italy,Spain,1,1,Friendly
2004-04-28,Morocco,Argentina,0,1,Friendly
2004-04-28,United States,Mexico,1,0,Friendly
2004-05-20,France,Brazil,0,0,Friendly
2004-05-29,Netherlands,Belgium,0,1,Friendly
2004-06-01,England,Japan,1,1,Friendly
2004-06-02,Brazil,Argentina,3,1,FIFA World Cup qualification
2004-06-06,Colombia,Uruguay,5,0,FIFA World Cup qualification
2004-06-13,France,England,2,1,UEFA Euro
2004-06-15,Germany,Netherlands,1,1,UEFA Euro
2004-06-17,Croatia,France,2,2,UEFA Euro
2004-06-20,Portugal,Spain,1,0,UEFA Euro
2004-06-21,Croatia,England,2,4,UEFA Euro
2004-06-24,Portugal,England,2,2,UEFA Euro
2004-06-27,Argentina,Colombia,0,2,Friendly
2004-06-30,Portugal,Netherlands,2,1,UEFA Euro
2004-07-07,Mexico,Uruguay,2,2,Copa América
2004-07-10,Argentina,Mexico,0,1,Copa América
2004-07-13,Argentina,Uruguay,4,2,Copa América
2004-07-18,Mexico,Brazil,0,4,Copa América
2004-07-20,Argentina,Colombia,3,0,Copa América
2004-07-21,Uruguay,Brazil,1,1,Copa América
2004-07-24,Colombia,Uruguay,1,2,Copa América
2004-07-25,Argentina,Brazil,2,2,Copa América
2004-08-18,Japan,Argentina,1,2,Friendly
2004-09-08,Germany,Brazil,1,1,Friendly
2004-10-09,Argentina,Uruguay,4,2,FIFA World Cup qualification
2004-10-09,Spain,Belgium,2,0,FIFA World Cup qualification
2004-10-13,Brazil,Colombia,0,0,FIFA World Cup qualification
2004-11-17,Spain,England,1,0,Friendly
2004-12-16,Japan,Germany,0,3,Friendly
2005-02-09,England,Netherlands,0,0,Friendly
2005-02-09,Germany,Argentina,2,2,Friendly
2005-02-23,Mexico,Colombia,1,1,Friendly
2005-03-09,Mexico,Argentina,1,1,Friendly
2005-03-09,United States,Colombia,3,0,Friendly
2005-03-27,Mexico,United States,2,1,FIFA World Cup qualification
2005-03-30,Argentina,Colombia,1,0,FIFA World Cup qualification
2005-03-30,Uruguay,Brazil,1,1,FIFA World Cup qualification
2005-05-28,United States,England,1,2,Friendly
2005-05-31,Colombia,England,2,3,Friendly
2005-06-08,Argentina,Brazil,3,1,FIFA World Cup qualification
2005-06-16,Japan,Mexico,1,2,Confederations Cup
2005-06-19,Mexico,Brazil,1,0,Confederations Cup
2005-06-21,Germany,Argentina,2,2,Confederations Cup
2005-06-22,Japan,Brazil,2,2,Confederations Cup
2005-06-25,Germany,Brazil,2,3,Confederations Cup
2005-06-26,Mexico,Argentina,1,1,Confederations Cup
2005-06-29,Brazil,Argentina,4,1,Confederations Cup
2005-06-29,Germany,Mexico,4,3,Confederations Cup
2005-07-17,Mexico,Colombia,1,2,Gold Cup
2005-08-17,Croatia,Brazil,1,1,Friendly
2005-08-17,Netherlands,Germany,2,2,Friendly
2005-08-17,Spain,Uruguay,2,0,Friendly
2005-09-03,United States,Mexico,2,0,FIFA World Cup qualification
2005-09-04,Uruguay,Colombia,3,2,FIFA World Cup qualification
2005-10-08,Belgium,Spain,0,2,FIFA World Cup qualification
2005-10-12,Uruguay,Argentina,1,0,FIFA World Cup qualification
2005-10-26,Mexico,Uruguay,3,1,Friendly
2005-11-12,England,Argentina,3,2,Friendly
2005-11-12,France,Germany,0,0,Friendly
2005-11-12,Netherlands,Italy,1,3,Friendly
2005-11-12,Portugal,Croatia,2,0,Friendly
2006-02-10,United States,Japan,3,2,Friendly
2006-03-01,Argentina,Croatia,2,3,Friendly
2006-03-01,England,Uruguay,2,1,Friendly
2006-03-01,Italy,Germany,4,1,Friendly
2006-03-22,Germany,United States,4,1,Friendly
2006-05-23,United States,Morocco,0,1,Friendly
2006-05-27,France,Mexico,1,0,Friendly
2006-05-30,Germany,Japan,2,2,Friendly
2006-06-01,Netherlands,Mexico,2,1,Friendly
2006-06-02,Germany,Colombia,3,0,Friendly
2006-06-04,Colombia,Morocco,2,0,Friendly
2006-06-07,Spain,Croatia,2,1,Friendly
2006-06-13,Brazil,Croatia,1,0,FIFA World Cup
2006-06-17,Italy,United States,1,1,FIFA World Cup
2006-06-18,Japan,Croatia,0,0,FIFA World Cup
2006-06-21,Netherlands,Argentina,0,0,FIFA World Cup
2006-06-21,Portugal,Mexico,2,1,FIFA World Cup
2006-06-22,Japan,Brazil,1,4,FIFA World Cup
2006-06-24,Argentina,Mexico,2,1,FIFA World Cup
2006-06-25,Portugal,Netherlands,1,0,FIFA World Cup
2006-06-27,Spain,France,1,3,FIFA World Cup
2006-06-30,Germany,Argentina,1,1,FIFA World Cup
2006-07-01,Brazil,France,0,1,FIFA World Cup
2006-07-01,England,Portugal,0,0,FIFA World Cup
2006-07-04,Germany,Italy,0,2,FIFA World Cup
2006-07-05,Portugal,France,0,1,FIFA World Cup
2006-07-08,Germany,Portugal,3,1,FIFA World Cup
2006-07-09,Italy,France,1,1,FIFA World Cup
2006-08-16,Italy,Croatia,0,2,Friendly
2006-09-03,Argentina,Brazil,0,3,Friendly
2006-09-06,France,Italy,3,1,UEFA Euro qualification
2006-10-11,Croatia,England,2,0,UEFA Euro qualification
2006-10-11,Spain,Argentina,2,1,Friendly
2006-11-15,Netherlands,England,1,1,Friendly
2007-02-06,Portugal,Brazil,2,0,Friendly
2007-02-07,Colombia,Uruguay,1,3,Friendly
2007-02-07,England,Spain,0,1,Friendly
2007-02-07,France,Argentina,0,1,Friendly
2007-02-07,United States,Mexico,2,0,Friendly
2007-03-24,Portugal,Belgium,4,0,UEFA Euro qualification
2007-06-01,England,Brazil,1,1,Friendly
2007-06-02,Belgium,Portugal,1,2,UEFA Euro qualification
2007-06-05,Japan,Colombia,0,0,Kirin Cup
2007-06-24,United States,Mexico,2,1,Gold Cup
2007-06-27,Brazil,Mexico,0,2,Copa América
2007-06-28,Argentina,United States,4,1,Copa América
2007-07-02,Argentina,Colombia,4,2,Copa América
2007-07-05,Colombia,United States,1,0,Copa América
2007-07-10,Uruguay,Brazil,2,2,Copa América
2007-07-11,Mexico,Argentina,0,3,Copa América
2007-07-14,Mexico,Uruguay,3,1,Copa América
2007-07-15,Brazil,Argentina,3,0,Copa América
2007-08-22,England,Germany,1,2,Friendly
2007-08-22,Mexico,Colombia,0,1,Friendly
2007-09-08,Italy,France,0,0,UEFA Euro qualification
2007-09-09,United States,Brazil,2,4,Friendly
2007-09-12,Mexico,Brazil,1,3,Friendly
2007-10-14,Colombia,Brazil,0,0,FIFA World Cup qualification
2007-11-16,France,Morocco,2,2,Friendly
2007-11-20,Colombia,Argentina,2,1,FIFA World Cup qualification
2007-11-21,Brazil,Uruguay,2,1,FIFA World Cup qualification
2007-11-21,England,Croatia,2,3,UEFA Euro qualification
2007-11-21,Morocco,Senegal,3,0,Friendly
2008-02-06,Croatia,Netherlands,0,3,Friendly
2008-02-06,Italy,Portugal,3,1,Friendly
2008-02-06,Spain,France,1,0,Friendly
2008-02-06,Uruguay,Colombia,2,2,Friendly
2008-02-06,United States,Mexico,2,2,Friendly
2008-03-26,Belgium,Morocco,1,4,Friendly
2008-03-26,France,England,1,0,Friendly
2008-03-26,Spain,Italy,1,0,Friendly
2008-05-28,England,United States,2,0,Friendly
2008-05-30,Italy,Belgium,3,1,Friendly
2008-06-03,France,Colombia,1,0,Friendly
2008-06-04,Mexico,Argentina,1,4,Friendly
2008-06-04,Spain,United States,1,0,Friendly
2008-06-08,United States,Argentina,0,0,Friendly
2008-06-09,Netherlands,Italy,3,0,UEFA Euro
2008-06-12,Croatia,Germany,2,1,UEFA Euro
2008-06-13,Netherlands,France,4,1,UEFA Euro
2008-06-17,France,Italy,0,2,UEFA Euro
2008-06-18,Brazil,Argentina,0,0,FIFA World Cup qualification
2008-06-19,Portugal,Germany,2,3,UEFA Euro
2008-06-22,Spain,Italy,0,0,UEFA Euro
2008-06-29,Germany,Spain,0,1,UEFA Euro
2008-08-20,Germany,Belgium,2,0,Friendly
2008-08-20,Japan,Uruguay,1,3,Friendly
2008-09-06,Colombia,Uruguay,0,1,FIFA World Cup qualification
2008-09-10,Croatia,England,1,4,FIFA World Cup qualification
2008-10-11,Argentina,Uruguay,2,1,FIFA World Cup qualification
2008-10-15,Belgium,Spain,1,2,FIFA World Cup qualification
2008-10-15,Brazil,Colombia,0,0,FIFA World Cup qualification
2008-11-19,Brazil,Portugal,6,2,Friendly
2008-11-19,France,Uruguay,0,0,Friendly
2008-11-19,Germany,England,1,2,Friendly
2009-02-10,Brazil,Italy,2,0,Friendly
2009-02-11,France,Argentina,0,2,Friendly
2009-02-11,Spain,England,2,0,Friendly
2009-02-11,United States,Mexico,2,0,FIFA World Cup qualification
2009-05-31,Japan,Belgium,4,0,Kirin Cup
2009-06-06,Argentina,Colombia,1,0,FIFA World Cup qualification
2009-06-06,Uruguay,Brazil,0,4,FIFA World Cup qualification
2009-06-15,United States,Italy,1,3,Confederations Cup
2009-06-18,United States,Brazil,0,3,Confederations Cup
2009-06-21,Italy,Brazil,0,3,Confederations Cup
2009-06-24,Spain,United States,0,2,Confederations Cup
2009-06-28,United States,Brazil,2,3,Confederations Cup
2009-07-26,United States,Mexico,0,5,Gold Cup
2009-08-12,Mexico,United States,2,1,FIFA World Cup qualification
2009-08-12,Netherlands,England,2,2,Friendly
2009-09-05,Argentina,Brazil,1,3,FIFA World Cup qualification
2009-09-05,Netherlands,Japan,3,0,Friendly
2009-09-05,Spain,Belgium,5,0,FIFA World Cup qualification
2009-09-09,England,Croatia,5,1,FIFA World Cup qualification
2009-09-09,Uruguay,Colombia,3,1,FIFA World Cup qualification
2009-09-30,Mexico,Colombia,1,2,Friendly
2009-10-14,Uruguay,Argentina,0,1,FIFA World Cup qualification
2009-11-14,Brazil,England,1,0,Friendly
2009-11-14,Italy,Netherlands,0,0,Friendly
2009-11-14,Spain,Argentina,2,1,Friendly
2010-03-03,Belgium,Croatia,0,1,Friendly
2010-03-03,France,Spain,0,2,Friendly
2010-03-03,Germany,Argentina,0,1,Friendly
2010-03-03,Netherlands,United States,2,1,Friendly
2010-05-10,Mexico,Senegal,1,0,Friendly
2010-05-24,England,Mexico,3,1,Friendly
2010-05-26,Netherlands,Mexico,2,1,Friendly
2010-05-30,Japan,England,1,2,Friendly
2010-06-03,Italy,Mexico,1,2,Friendly
2010-06-11,Uruguay,France,0,0,FIFA World Cup
2010-06-12,England,United States,1,1,FIFA World Cup
2010-06-17,France,Mexico,0,2,FIFA World Cup
2010-06-19,Netherlands,Japan,1,0,FIFA World Cup
2010-06-22,Mexico,Uruguay,0,1,FIFA World Cup
2010-06-25,Portugal,Brazil,0,0,FIFA World Cup
2010-06-27,Argentina,Mexico,3,1,FIFA World Cup
2010-06-27,Germany,England,4,1,FIFA World Cup
2010-06-29,Spain,Portugal,1,0,FIFA World Cup
2010-07-02,Netherlands,Brazil,2,1,FIFA World Cup
2010-07-03,Argentina,Germany,0,4,FIFA World Cup
2010-07-06,Uruguay,Netherlands,2,3,FIFA World Cup
2010-07-07,Germany,Spain,0,1,FIFA World Cup
2010-07-10,Uruguay,Germany,2,3,FIFA World Cup
2010-07-11,Netherlands,Spain,0,1,FIFA World Cup
2010-08-10,United States,Brazil,0,2,Friendly
2010-08-11,Mexico,Spain,1,1,Friendly
2010-09-03,Belgium,Germany,0,1,UEFA Euro qualification
2010-09-07,Argentina,Spain,4,1,Friendly
2010-09-07,Mexico,Colombia,1,0,Friendly
2010-10-08,Japan,Argentina,1,0,Friendly
2010-10-12,United States,Colombia,0,0,Friendly
2010-11-17,Argentina,Brazil,1,0,Friendly
2010-11-17,England,France,1,2,Friendly
2010-11-17,Portugal,Spain,4,0,Friendly
2011-02-09,Argentina,Portugal,2,1,Friendly
2011-02-09,France,Brazil,1,0,Friendly
2011-02-09,Germany,Italy,1,1,Friendly
2011-02-09,Spain,Colombia,1,0,Friendly
2011-03-26,United States,Argentina,1,1,Friendly
2011-03-29,France,Croatia,0,0,Friendly
2011-05-29,Germany,Uruguay,2,1,Friendly
2011-06-04,Brazil,Netherlands,0,0,Friendly
2011-06-04,United States,Spain,0,4,Friendly
2011-06-08,Uruguay,Netherlands,1,1,Copa Confraternidad
2011-06-25,Colombia,Senegal,2,0,Friendly
2011-06-25,United States,Mexico,2,4,Gold Cup
2011-07-06,Argentina,Colombia,0,0,Copa América
2011-07-12,Uruguay,Mexico,1,0,Copa América
2011-07-16,Argentina,Uruguay,1,1,Copa América
2011-08-10,Germany,Brazil,3,2,Friendly
2011-08-10,Italy,Spain,2,1,Friendly
2011-08-10,Senegal,Morocco,0,2,Friendly
2011-08-10,United States,Mexico,1,1,Friendly
2011-09-06,Belgium,United States,1,0,Friendly
2011-09-14,Argentina,Brazil,0,0,Superclásico de las Américas
2011-09-28,Brazil,Argentina,2,0,Superclásico de las Américas
2011-10-11,Germany,Belgium,3,1,UEFA Euro qualification
2011-10-11,Mexico,Brazil,1,2,Friendly
2011-11-11,France,United States,1,0,Friendly
2011-11-12,England,Spain,1,0,Friendly
2011-11-15,Colombia,Argentina,1,2,FIFA World Cup qualification
2011-11-15,France,Belgium,0,0,Friendly
2011-11-15,Germany,Netherlands,3,0,Friendly
2011-11-15,Italy,Uruguay,0,1,Friendly
2012-02-29,England,Netherlands,2,3,Friendly
2012-02-29,Germany,France,1,2,Friendly
2012-02-29,Italy,United States,0,1,Friendly
2012-02-29,Mexico,Colombia,0,2,Friendly
2012-05-25,Morocco,Senegal,0,1,Friendly
2012-05-30,United States,Brazil,1,4,Friendly
2012-06-02,England,Belgium,1,0,Friendly
2012-06-03,Mexico,Brazil,2,0,Friendly
2012-06-09,Brazil,Argentina,3,4,Friendly
2012-06-09,Germany,Portugal,1,0,UEFA Euro
2012-06-10,Spain,Italy,1,1,UEFA Euro
2012-06-11,France,England,1,1,UEFA Euro
2012-06-13,Netherlands,Germany,1,2,UEFA Euro
2012-06-14,Italy,Croatia,1,1,UEFA Euro
2012-06-17,Portugal,Netherlands,2,1,UEFA Euro
2012-06-18,Croatia,Spain,0,1,UEFA Euro
2012-06-23,Spain,France,2,0,UEFA Euro
2012-06-24,England,Italy,0,0,UEFA Euro
2012-06-27,Portugal,Spain,0,0,UEFA Euro
2012-06-28,Germany,Italy,1,2,UEFA Euro
2012-07-01,Spain,Italy,4,0,UEFA Euro
2012-08-15,Belgium,Netherlands,4,2,Friendly
2012-08-15,England,Italy,2,1,Friendly
2012-08-15,France,Uruguay,0,0,Friendly
2012-08-15,Germany,Argentina,1,3,Friendly
2012-08-15,Mexico,United States,0,1,Friendly
2012-09-07,Colombia,Uruguay,4,0,FIFA World Cup qualification
2012-09-11,Belgium,Croatia,1,1,FIFA World Cup qualification
2012-09-19,Brazil,Argentina,2,1,Superclásico de las Américas
2012-10-12,Argentina,Uruguay,3,0,FIFA World Cup qualification
2012-10-12,France,Japan,0,1,Friendly
2012-10-16,Japan,Brazil,0,4,Friendly
2012-10-16,Spain,France,1,1,FIFA World Cup qualification
2012-11-14,Brazil,Colombia,1,1,Friendly
2012-11-14,Italy,France,1,2,Friendly
2012-11-14,Netherlands,Germany,0,0,Friendly
2012-11-21,Argentina,Brazil,2,1,Superclásico de las Américas
2013-02-06,England,Brazil,2,1,Friendly
2013-02-06,France,Germany,1,2,Friendly
2013-02-06,Netherlands,Italy,1,1,Friendly
2013-02-06,Spain,Uruguay,3,1,Friendly
2013-03-21,Italy,Brazil,2,2,Friendly
2013-03-26,France,Spain,0,1,FIFA World Cup qualification
2013-03-26,Mexico,United States,0,0,FIFA World Cup qualification
2013-05-29,United States,Belgium,2,4,Friendly
2013-06-02,Brazil,England,2,2,Friendly
2013-06-02,United States,Germany,4,3,Friendly
2013-06-05,Uruguay,France,1,0,Friendly
2013-06-07,Argentina,Colombia,0,0,FIFA World Cup qualification
2013-06-09,Brazil,France,3,0,Friendly
2013-06-10,Croatia,Portugal,0,1,Friendly
2013-06-15,Brazil,Japan,3,0,Confederations Cup
2013-06-16,Mexico,Italy,1,2,Confederations Cup
2013-06-16,Spain,Uruguay,2,1,Confederations Cup
2013-06-19,Brazil,Mexico,2,0,Confederations Cup
2013-06-19,Italy,Japan,4,3,Confederations Cup
2013-06-22,Brazil,Italy,4,2,Confederations Cup
2013-06-22,Japan,Mexico,1,2,Confederations Cup
2013-06-26,Brazil,Uruguay,2,1,Confederations Cup
2013-06-27,Spain,Italy,0,0,Confederations Cup
2013-06-30,Brazil,Spain,3,0,Confederations Cup
2013-06-30,Uruguay,Italy,2,2,Confederations Cup
2013-08-14,Belgium,France,0,0,Friendly
2013-08-14,Italy,Argentina,1,2,Friendly
2013-08-14,Japan,Uruguay,2,4,Friendly
2013-08-14,Portugal,Netherlands,1,1,Friendly
2013-09-10,Brazil,Portugal,3,1,Friendly
2013-09-10,Uruguay,Colombia,2,0,FIFA World Cup qualification
2013-09-10,United States,Mexico,2,0,FIFA World Cup qualification
2013-10-11,Croatia,Belgium,1,2,FIFA World Cup qualification
2013-10-15,Uruguay,Argentina,3,2,FIFA World Cup qualification
2013-11-14,Belgium,Colombia,0,2,Friendly
2013-11-15,Italy,Germany,1,1,Friendly
2013-11-16,Netherlands,Japan,2,2,Friendly
2013-11-19,Belgium,Japan,2,3,Friendly
2013-11-19,England,Germany,0,1,Friendly
2013-11-19,Netherlands,Colombia,0,0,Friendly
2014-03-05,France,Netherlands,2,0,Friendly
2014-03-05,Spain,Italy,1,0,Friendly
2014-05-31,Colombia,Senegal,2,2,Friendly
2014-06-06,Mexico,Portugal,0,1,Friendly
2014-06-12,Brazil,Croatia,3,1,FIFA World Cup
2014-06-13,Spain,Netherlands,1,5,FIFA World Cup
2014-06-14,England,Italy,1,2,FIFA World Cup
2014-06-16,Germany,Portugal,4,0,FIFA World Cup
2014-06-17,Brazil,Mexico,0,0,FIFA World Cup
2014-06-19,Uruguay,England,2,1,FIFA World Cup
2014-06-22,United States,Portugal,2,2,FIFA World Cup
2014-06-23,Croatia,Mexico,1,3,FIFA World Cup
2014-06-24,Italy,Uruguay,0,1,FIFA World Cup
2014-06-24,Japan,Colombia,1,4,FIFA World Cup
2014-06-26,United States,Germany,0,1,FIFA World Cup
2014-06-28,Colombia,Uruguay,2,0,FIFA World Cup
2014-06-29,Netherlands,Mexico,2,1,FIFA World Cup
2014-07-01,Belgium,United States,2,1,FIFA World Cup
2014-07-04,Brazil,Colombia,2,1,FIFA World Cup
2014-07-04,France,Germany,0,1,FIFA World Cup
2014-07-05,Argentina,Belgium,1,0,FIFA World Cup
2014-07-08,Brazil,Germany,1,7,FIFA World Cup
2014-07-09,Netherlands,Argentina,0,0,FIFA World Cup
2014-07-12,Brazil,Netherlands,0,3,FIFA World Cup
2014-07-13,Germany,Argentina,1,0,FIFA World Cup
2014-09-03,Germany,Argentina,2,4,Friendly
2014-09-04,France,Spain,1,0,Friendly
2014-09-04,Italy,Netherlands,2,0,Friendly
2014-09-05,Japan,Uruguay,0,2,Kirin Challenge Cup
2014-09-05,Brazil,Colombia,1,0,Friendly
2014-10-11,Argentina,Brazil,0,2,Superclásico de las Américas
